Concept,Key,sub key,Type,Example Value,Comment,condition
Description,,,,,,
,id,,UUID,,DIGITbrain reference,Mandatory
,name ,,String,,Short name for the node/device,Mandatory
,author ,,String,,Created by,Mandatory
,date,,Date (auto generated),,Created on,Mandatory
Deployments,,,,,,
,type,,"Enumeration {cloudbroker, edge}",,computing centre,Mandatory
,cloudbroker,,Map of…,,,if type:cloudbroker
,,deployment_id,UUID,,ID of CloudBroker Deployment,if type:cloudbroker
,,instance_type_id,UUID,,ID of CloudBroker InstanceType,if type:cloudbroker
,,key_pair_id,UUID,,ID of CloudBroker Key Pair,if type:cloudbroker
,,opened_port,String (comma separated integers),,Ports to open at cloud side,if type:cloudbroker
,,endpoint,URL,,Endpoint of the CB Platform,if type:cloudbroker
,edge,,Map of…,,,if type:edge
,,endpoint,URL,,accesible IP or FQDN of edge device,if type:edge
Data Source Mapping,,,,,,
,data_source_mapping,,Map of…,,,Optional
,,microserviceA_data,List of UUIDs,,UUIDs of required data sources for MicroserviceA,
,,microserviceB_data,List of UUIDs,,UUIDs of required data sources for MicroserviceB,
,,microserviceC_data,List of UUIDs,,UUIDs of required data sources for MicroserviceC,
